,Importation_Month,Name,Name_fr,Month_mass,is_right_season,All_year_mass,Higher_import,Index
28,9,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",28262584,True,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.3005289987566773
29,7,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",15628632,True,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.39720020142032425
30,3,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",45167063,False,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.17975136370646602
31,5,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",29211474,False,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.27382793499522834
32,4,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",22605046,False,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.311573389835172
33,2,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",20197173,False,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.34518580863914133
34,1,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",22560645,False,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.3805462005213321
35,6,corn,"['mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais', 'mais']",35797651,False,"[34482190, 72464328, 77577590, 45913269, 28262584, 15628632, 45167063, 29211474, 22605046, 20197173, 22560645, 35797651]",False,0.3201677348136914
36,12,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",13394026,True,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",True,0.3625651174958484
37,11,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",6726509,False,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",False,0.5818292390162884
38,10,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",2641162,False,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",False,0.6202474232735857
39,9,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",2378214,False,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",False,0.5563012199216514
40,8,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",8002214,True,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",True,0.4857894034405346
41,7,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",4629621,True,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",False,0.3457452831263838
42,6,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",2561882,True,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",False,0.6364883264249138
43,4,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",9108343,False,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",True,0.385379108219791
44,3,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",2533535,False,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",False,0.44135046065304345
45,2,barley,"['orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge', 'orge']",8540959,False,"[13394026, 6726509, 2641162, 2378214, 8002214, 4629621, 2561882, 9108343, 2533535, 8540959, 6271022, 1417234]",True,0.12077690456924602
